gname,chromosome,orientation,start,end
YIL104C,chrIX,-,169981,171505
YIL103W,chrIX,+,171750,173028
YIL102C-A,chrIX,-,173364,173592
YIL102C,chrIX,-,174581,174887
tT(AGU)I1,chrIX,+,175030,175103
YIL101C,chrIX,-,175306,177250
YIL100C-A,chrIX,-,177342,177681
YIL100W,chrIX,+,177372,177726
YIL099W,chrIX,+,178003,179653
YIL098C,chrIX,-,179771,180239
YIL097W,chrIX,+,180426,181977
YIL096C,chrIX,-,182116,183127
tI(AAU)I1,chrIX,-,183439,183513
YIL095W,chrIX,+,183936,186369
YIL094C,chrIX,-,186516,187632
YIL093C,chrIX,-,187989,188784
YIL092W,chrIX,+,189065,190967
YIL091C,chrIX,-,191029,193195
YIL090W,chrIX,+,193594,195070
YIL089W,chrIX,+,195598,196216
tE(CUC)I,chrIX,+,197591,197663
YIL088C,chrIX,-,197930,199403
YIL087C,chrIX,-,199645,200119
YIL086C,chrIX,-,200152,200461
YIL085C,chrIX,-,200489,202043
YIL084C,chrIX,-,202275,203259
YIL083C,chrIX,-,203555,204653
YIL082W-A,chrIX,+,205634,210132
YIL082W,chrIX,+,205634,206507
YIL080W,chrIX,+,205634,210357
tI(AAU)I2,chrIX,+,210664,210738
YIL079C,chrIX,-,210922,212005
YIL078W,chrIX,+,212498,214703
YIL077C,chrIX,-,214990,215953
YIL076W,chrIX,+,216657,217548
YIL075C,chrIX,-,217862,220700
YIL074C,chrIX,-,221080,222490
YIL073C,chrIX,-,222936,225954
YIL072W,chrIX,+,226601,228419
YIL071W-A,chrIX,+,228549,229026
YIL071C,chrIX,-,228659,229994
YIL070C,chrIX,-,230271,231072
YIL069C,chrIX,-,231552,232369
YIL068W-A,chrIX,+,233012,233396
YIL068C,chrIX,-,233056,235474
YIL067C,chrIX,-,235723,237760
YIL066W-A,chrIX,+,237365,237809
YIL066C,chrIX,-,238098,240708
YIL065C,chrIX,-,241307,241775
YIL064W,chrIX,+,241942,242716
YIL063C,chrIX,-,242760,243744
YIL062C,chrIX,-,243997,244462
YIL061C,chrIX,-,244656,245559
YIL060W,chrIX,+,246391,246826
YIL059C,chrIX,-,246549,246915
YIL058W,chrIX,+,246913,247198
YIL057C,chrIX,-,247901,248396
tS(UGA)I,chrIX,+,248849,248931
YIL056W,chrIX,+,249990,251913
YIL055C,chrIX,-,252041,253925
YIL054W,chrIX,+,254542,254860
YIL053W,chrIX,+,255114,255867
YIL052C,chrIX,-,256225,257063
YIL051C,chrIX,-,257842,258280
YIL050W,chrIX,+,258912,259770
YIL049W,chrIX,+,260157,260919
YIL048W,chrIX,+,261436,264892
YIL047C-A,chrIX,-,265098,265467
YIL047C,chrIX,-,265114,267823
YIL046W-A,chrIX,+,268308,268473
YIL046W,chrIX,+,268650,270573
YIL045W,chrIX,+,271160,272777
YIL044C,chrIX,-,272949,273846
YIL043C,chrIX,-,274071,274926
YIL042C,chrIX,-,275107,276292
YIL041W,chrIX,+,276524,277505
YIL040W,chrIX,+,277722,278139
YIL039W,chrIX,+,278425,279847
YIL038C,chrIX,-,280141,282652
YIL037C,chrIX,-,283028,284999
YIL036W,chrIX,+,285665,287429
YIL035C,chrIX,-,287789,288908
YIL034C,chrIX,-,289225,290089
YIL033C,chrIX,-,290418,291669
YIL032C,chrIX,-,291960,292317
YIL031W,chrIX,+,292632,295737
YIL030W-A,chrIX,+,295564,295903
YIL030C,chrIX,-,296049,300009
YIL029W-A,chrIX,+,299734,300106
tK(CUU)I,chrIX,-,300227,300300
YIL029C,chrIX,-,300828,301257
YIL028W,chrIX,+,302099,302498
YIL027C,chrIX,-,303678,304104
YIL026C,chrIX,-,304476,307929
YIL025C,chrIX,-,308200,308575
YIL024C,chrIX,-,308601,309171
YIL023C,chrIX,-,309385,310426
YIL022W,chrIX,+,311164,312460
YIL021W,chrIX,+,312904,313861
YIL021C-A,chrIX,-,313198,313468
YIL020C-A,chrIX,-,313712,314051
YIL020C,chrIX,-,314034,314820
YIL019W,chrIX,+,315092,316133
YIL018W,chrIX,+,316767,317932
YIL017C,chrIX,-,318199,320965
YIL016W,chrIX,+,321453,321933
YIL015W,chrIX,+,322341,324105
tD(GUC)I1,chrIX,-,324302,324374
YIL014C-A,chrIX,-,325211,325526
tT(AGU)I2,chrIX,+,325747,325820
YIL014W,chrIX,+,326102,327995
YIL013C,chrIX,-,328206,332442
YIL012W,chrIX,+,333010,333352
YIL011W,chrIX,+,333726,334536
YIL010W,chrIX,+,334881,335529
YIL009C-A,chrIX,-,335665,336212
tD(GUC)I2,chrIX,-,336348,336420
YIL009W,chrIX,+,339343,341428
YIL008W,chrIX,+,342535,342835
YIL007C,chrIX,-,342993,343656
YIL006W,chrIX,+,344061,345183
YIL005W,chrIX,+,345691,347797
YIL004C,chrIX,-,347945,348505
YIL003W,chrIX,+,349121,350003
YIL002W-A,chrIX,+,350300,350510
YIL002C,chrIX,-,350590,353431
YIL001W,chrIX,+,353939,355481
YIR001C,chrIX,-,356142,356895
YIR002C,chrIX,-,357414,360396
YIR003W,chrIX,+,360884,362924
YIR004W,chrIX,+,363220,364519
YIR005W,chrIX,+,364888,365335
YIR006C,chrIX,-,365465,369908
tE(UUC)I,chrIX,+,370416,370488
YIR007W,chrIX,+,370703,372998
YIR008C,chrIX,-,373076,374306
YIR009W,chrIX,+,374524,374860
YIR010W,chrIX,+,375430,377161
YIR011C,chrIX,-,377286,378246
YIR012W,chrIX,+,378485,379781
YIR013C,chrIX,-,380018,380384
YIR014W,chrIX,+,381085,381814
YIR015W,chrIX,+,381947,382382
YIR016W,chrIX,+,382627,383425
YIR017C,chrIX,-,383555,384119
YIR017W-A,chrIX,+,383565,384165
YIR018W,chrIX,+,384608,385346
YIR018C-A,chrIX,-,385563,385701
YIR019C,chrIX,-,389571,393675
ICR1,chrIX,-,393883,397082
YIR020C,chrIX,-,394254,394557
YIR020W-A,chrIX,+,394916,395159
PWR1,chrIX,+,395998,396939
YIR020C-B,chrIX,-,397214,397949
YIR021W,chrIX,+,397293,398385
YIR021W-A,chrIX,+,398513,398726
YIR022W,chrIX,+,398732,399236
YIR023W,chrIX,+,399776,402689
YIR023C-A,chrIX,-,402382,402706
YIR024C,chrIX,-,402840,403491
YIR025W,chrIX,+,403658,404765
YIR026C,chrIX,-,404872,405967
YIR027C,chrIX,-,406259,407642
YIR028W,chrIX,+,408467,410375
YIR029W,chrIX,+,410806,411838
YIR030C,chrIX,-,412035,412770
YIR030W-A,chrIX,+,412898,413282
YIR031C,chrIX,-,413014,414679
YIR032C,chrIX,-,415029,415617
YIR033W,chrIX,+,416123,419465
YIR034C,chrIX,-,419614,420736
YIR035C,chrIX,-,421025,421790
YIR036C,chrIX,-,422073,422865
YIR036W-A,chrIX,+,422634,423036
YIR037W,chrIX,+,423127,423619
YIR038C,chrIX,-,423808,424513
YIR039C,chrIX,-,430497,432111
YIR040C,chrIX,-,433388,433721
YIR041W,chrIX,+,433928,434303
YIR042C,chrIX,-,435272,435983
YIR043C,chrIX,-,437042,437735
YIR044C,chrIX,-,437993,438179
tP(UGG)Q,chrM,+,730,802
Q0010,chrM,+,3951,4338
Q0017,chrM,+,4253,4415
15S_rRNA,chrM,+,6545,8194
tW(UCA)Q,chrM,+,9373,9447
Q0032,chrM,+,11666,11957
Q0055,chrM,+,13817,18830
Q0065,chrM,+,13817,21935
Q0045,chrM,+,13817,26701
Q0070,chrM,+,13817,23167
Q0050,chrM,+,13817,16322
Q0060,chrM,+,13817,19996
Q0075,chrM,+,24155,25255
Q0080,chrM,+,27665,27812
Q0085,chrM,+,28486,29266
Q0092,chrM,+,30873,31014
tE(UUC)Q,chrM,+,35372,35444
Q0110,chrM,+,36539,38579
Q0105,chrM,+,36539,43647
Q0120,chrM,+,36539,42251
Q0115,chrM,+,36539,40265
Q0130,chrM,+,46722,46953
tS(UGA)Q2,chrM,+,48200,48290
Q0140,chrM,+,48900,50097
Q0142,chrM,+,51051,51228
Q0143,chrM,+,51276,51429
Q0144,chrM,+,54108,54438
21S_rRNA,chrM,+,58008,62447
Q0160,chrM,+,61021,61729
tT(UGU)Q1,chrM,+,63861,63937
tC(GCA)Q,chrM,+,64414,64490
tH(GUG)Q,chrM,+,64595,64670
Q0182,chrM,+,65769,66174
tL(UAA)Q,chrM,+,66094,66179
tQ(UUG)Q,chrM,+,66209,66285
tK(UUU)Q,chrM,+,67060,67134
tR(UCU)Q1,chrM,+,67308,67381
tG(UCC)Q,chrM,+,67467,67542
tD(GUC)Q,chrM,+,68321,68396
tS(GCU)Q1,chrM,+,69202,69288
tR(ACG)Q2,chrM,+,69288,69362
tA(UGC)Q,chrM,+,69845,69921
tI(GAU)Q,chrM,+,70161,70237
tY(GUA)Q,chrM,+,70823,70907
tN(GUU)Q,chrM,+,71432,71503
tM(CAU)Q1,chrM,+,72629,72705
Q0250,chrM,+,73757,74513
Q0255,chrM,+,74494,75984
tF(GAA)Q,chrM,+,77430,77505
tT(XXX)Q2,chrM,-,78088,78162
tV(UAC)Q,chrM,+,78532,78608
Q0275,chrM,+,79212,80022
tM(CAU)Q2,chrM,+,85034,85112
RPM1,chrM,+,85294,85777
Q0297,chrM,+,85553,85709
YEL077C,chrV,-,263,4097
YEL077W-A,chrV,+,629,1112
YEL076C-A,chrV,-,4184,5114
YEL076C,chrV,-,4463,5114
YEL075W-A,chrV,+,4869,5481
YEL075C,chrV,-,5344,5713
YEL074W,chrV,+,6125,6464
YEL073C,chrV,-,7229,7553
YEL072W,chrV,+,13719,14415
YEL071W,chrV,+,16354,17845
YEL070W,chrV,+,19588,21097
YEL069C,chrV,-,21536,23231
YEL068C,chrV,-,25645,25978
YEL067C,chrV,-,26188,26776
YEL066W,chrV,+,26666,27206
YEL065W,chrV,+,27656,29543
YEL064C,chrV,-,29796,31239
YEL063C,chrV,-,31693,33466
YEL062W,chrV,+,34406,36254
YEL061C,chrV,-,36534,39537
YEL060C,chrV,-,40045,41953
YEL059C-A,chrV,-,42399,42624
YEL059W,chrV,+,42651,42960
YEL058W,chrV,+,43251,44925
YEL057C,chrV,-,45019,45721
YEL056W,chrV,+,47167,48373
YEL055C,chrV,-,48470,51539
snR80,chrV,-,52149,52320
YEL054C,chrV,-,52720,53218
YEL053W-A,chrV,+,52907,53255
YEL053C,chrV,-,53900,56102
YEL052W,chrV,+,56570,58100
YEL051W,chrV,+,58377,59148
YEL050W-A,chrV,+,59548,59740
YEL050C,chrV,-,59669,60851
snR67,chrV,+,61351,61433
snR53,chrV,+,61698,61789
tG(GCC)E,chrV,-,61889,61960
YEL049W,chrV,+,63727,64090
YEL048C,chrV,-,64708,65167
YEL047C,chrV,-,65384,66797
YEL046C,chrV,-,67628,68792
YEL045C,chrV,-,68839,69265
YEL044W,chrV,+,69756,70257
YEL043W,chrV,+,70477,73348
YEL042W,chrV,+,73770,75327
YEL041W,chrV,+,75943,77431
YEL040W,chrV,+,78052,79456
YEL039C,chrV,-,79635,79977
YEL038W,chrV,+,80461,81145
YEL037C,chrV,-,81406,82603
YEL036C,chrV,-,83049,84552
YEL035C,chrV,-,85044,85545
YEL034C-A,chrV,-,85612,86215
YEL034W,chrV,+,85675,86149
YEL033W,chrV,+,86178,86598
tS(AGA)E,chrV,+,86603,86685
YEL032W,chrV,+,86936,89852
YEL032C-A,chrV,-,87039,87201
YEL031W,chrV,+,90257,93905
YEL030C-A,chrV,-,94582,94897
YEL030W,chrV,+,94643,96578
YEL029C,chrV,-,96857,97796
YEL028W,chrV,+,98667,99129
tM(CAU)E,chrV,+,100132,100204
YEL027W,chrV,+,100768,101251
YEL026W,chrV,+,101942,102323
YEL025C,chrV,-,102580,106147
YEL024W,chrV,+,107259,107907
YEL023C,chrV,-,108503,110552
YEL022W,chrV,+,111420,115800
YEL021W,chrV,+,116166,116970
YEL020C-B,chrV,-,117182,117380
YEL020W-A,chrV,+,117210,117474
RPR1,chrV,-,117666,118035
YEL020C,chrV,-,118616,120299
YEL019C,chrV,-,120497,121301
YEL018C-A,chrV,-,121454,121988
YEL018W,chrV,+,121470,122310
YEL017C-A,chrV,-,122797,122929
YEL017W,chrV,+,123656,124670
YEL016C,chrV,-,124736,126218
YEL015W,chrV,+,126628,128284
YEL014C,chrV,-,128302,128608
YEL013W,chrV,+,128824,130561
tQ(UUG)E2,chrV,-,131081,131153
YEL012W,chrV,+,131771,132551
YEL011W,chrV,+,133119,135234
tK(CUU)E1,chrV,-,135424,135497
YEL010W,chrV,+,136278,136629
YEL009C-A,chrV,-,136370,136778
tR(UCU)E,chrV,+,138665,138737
YEL009C,chrV,-,138917,139763
YEL008W,chrV,+,140511,140892
YEL008C-A,chrV,-,140725,140818
YEL007W,chrV,+,141891,143892
YEL006W,chrV,+,144326,145334
YEL005C,chrV,-,145906,146755
YEL004W,chrV,+,146950,147979
YEL003W,chrV,+,148175,148599
YEL002C,chrV,-,148721,150014
YEL001C,chrV,-,150300,150978
YER001W,chrV,+,153519,155808
YER002W,chrV,+,156802,157498
YER003C,chrV,-,157735,159118
YER004W,chrV,+,159579,160275
YER005W,chrV,+,160549,162442
YER006W,chrV,+,162722,164285
YER006C-A,chrV,-,164343,164661
YER007W,chrV,+,164526,166083
YER007C-A,chrV,-,166236,166885
snR14,chrV,-,167426,167586
YER008C,chrV,-,167807,171818
YER009W,chrV,+,172114,172492
YER010C,chrV,-,172633,173338
YER011W,chrV,+,175247,176012
tE(UUC)E1,chrV,+,177098,177170
YER012W,chrV,+,177834,178431
YER013W,chrV,+,178840,182278
YER014W,chrV,+,182599,184219
YER014C-A,chrV,-,183730,184700
YER015W,chrV,+,184540,186775
YER016W,chrV,+,188276,189311
YER017C,chrV,-,189502,191788
YER018C,chrV,-,191958,192624
YER019W,chrV,+,192796,194230
YER019C-A,chrV,-,194272,194539
YER020W,chrV,+,195167,196517
YER021W,chrV,+,196947,198519
YER022W,chrV,+,198811,200875
YER023W,chrV,+,201075,201936
YER023C-A,chrV,-,201521,201734
YER024W,chrV,+,202191,204963
YER025W,chrV,+,205250,206834
tH(GUG)E1,chrV,+,207356,207428
YER026C,chrV,-,207643,208474
YER027C,chrV,-,208978,210232
YER028C,chrV,-,210691,211876
YER029C,chrV,-,212586,213177
YER030W,chrV,+,213436,213898
YER031C,chrV,-,214075,214747
YER032W,chrV,+,215062,217693
YER033C,chrV,-,218056,221287
YER034W,chrV,+,221845,222403
YER035W,chrV,+,222638,223076
YER036C,chrV,-,223366,225199
YER037W,chrV,+,225888,226854
YER038C,chrV,-,226857,228252
YER038W-A,chrV,+,228450,228831
YER039C,chrV,-,228455,229205
YER039C-A,chrV,-,229262,229481
YER040W,chrV,+,229794,231987
YER041W,chrV,+,232460,234740
YER042W,chrV,+,234936,235491
YER043C,chrV,-,235769,237119
YER044C,chrV,-,237569,238016
YER044C-A,chrV,-,238459,239774
YER045C,chrV,-,240031,241501
YER046W,chrV,+,243179,243611
YER046W-A,chrV,+,243699,244029
YER047C,chrV,-,243809,246503
YER048C,chrV,-,246981,248157
tQ(UUG)E1,chrV,+,250285,250357
YER048W-A,chrV,+,250717,251002
YER049W,chrV,+,251727,253662
YER050C,chrV,-,253970,254387
YER051W,chrV,+,254655,256134
YER052C,chrV,-,256374,257958
YER053C,chrV,-,258736,259639
YER053C-A,chrV,-,260932,261046
YER054C,chrV,-,262051,263698
YER055C,chrV,-,264891,265785
YER056C,chrV,-,266511,268113
YER056C-A,chrV,-,269422,270185
YER057C,chrV,-,270736,271126
YER058W,chrV,+,271767,272091
YER059W,chrV,+,272623,273886
YER060W,chrV,+,274566,276153
YER060W-A,chrV,+,276571,278164
YER061C,chrV,-,278297,279626
YER062C,chrV,-,279929,280682
YER063W,chrV,+,281709,282366
YER064C,chrV,-,282704,284222
YER065C,chrV,-,285240,286914
tS(UGA)E,chrV,-,288442,288524
YER066W,chrV,+,290241,290799
YER066C-A,chrV,-,291702,292203
YER067W,chrV,+,292065,292551
YER067C-A,chrV,-,292239,292563
YER068W,chrV,+,293049,294813
YER068C-A,chrV,-,295300,295732
YER069W,chrV,+,295409,298001
YER070W,chrV,+,298949,301616
YER071C,chrV,-,301946,302327
YER072W,chrV,+,302805,303195
YER073W,chrV,+,304029,305592
YER074W,chrV,+,306322,307196
YER074W-A,chrV,+,307652,308123
YER075C,chrV,-,308412,311199
tA(UGC)E,chrV,-,312022,312095
YER076C,chrV,-,312589,313498
YER076W-A,chrV,+,313389,313737
YER077C,chrV,-,314533,316600
YER078C,chrV,-,316806,318342
YER078W-A,chrV,+,318645,318810
YER079W,chrV,+,318919,319552
YER079C-A,chrV,-,319901,320240
YER080W,chrV,+,319962,321846
SRG1,chrV,+,322211,322762
YER081W,chrV,+,322685,324095
YER082C,chrV,-,324271,325936
YER083C,chrV,-,326173,327031
YER084W,chrV,+,327064,327451
YER084W-A,chrV,+,327597,328110
YER085C,chrV,-,327618,328140
YER086W,chrV,+,328476,330207
YER087W,chrV,+,330575,332306
YER087C-A,chrV,-,331816,332368
YER087C-B,chrV,-,332581,332830
YER088C,chrV,-,333175,335188
YER088C-A,chrV,-,335695,336019
YER088W-B,chrV,+,335926,336073
YER089C,chrV,-,335945,337340
YER090W,chrV,+,337948,339472
YER090C-A,chrV,-,338321,338411
YER091C,chrV,-,339863,342167
YER091C-A,chrV,-,342389,342611
YER092W,chrV,+,342854,343232
YER093C,chrV,-,343319,347612
YER093C-A,chrV,-,347911,348400
YER094C,chrV,-,348728,349346
YER095W,chrV,+,349979,351182
YER096W,chrV,+,351697,353236
tE(UUC)E2,chrV,+,354933,355005
YER097W,chrV,+,355139,355469
YER098W,chrV,+,355465,357730
YER099C,chrV,-,358104,359061
YER100W,chrV,+,359561,360314
YER101C,chrV,-,360501,361794
YER102W,chrV,+,363099,363702
YER103W,chrV,+,364588,366517
YER104W,chrV,+,366801,367428
YER105C,chrV,-,367837,372013
YER106W,chrV,+,372325,373234
YER107C,chrV,-,373447,374545
YER107W-A,chrV,+,374393,374714
YER109C,chrV,-,375214,377614
YER110C,chrV,-,378761,382103
YER111C,chrV,-,382594,385876
YER112W,chrV,+,387231,387795
YER113C,chrV,-,387931,390052
YER114C,chrV,-,390589,393712
YER115C,chrV,-,394291,394867
YER116C,chrV,-,395347,396172
YER117W,chrV,+,396768,397653
YER118C,chrV,-,397951,399055
YER119C,chrV,-,399495,400842
YER119C-A,chrV,-,400866,401238
YER120W,chrV,+,401134,401869
YER121W,chrV,+,402374,402719
YER122C,chrV,-,402870,404352
YER123W,chrV,+,404812,406387
YER124C,chrV,-,407341,409063
YER125W,chrV,+,410188,412618
YER126C,chrV,-,413393,414179
YER127W,chrV,+,414480,415554
YER128W,chrV,+,415858,416470
YER129W,chrV,+,417280,420709
YER130C,chrV,-,421114,422446
YER131W,chrV,+,423951,424311
snR4,chrV,+,424697,424883
YER132C,chrV,-,425187,430449
snR52,chrV,-,431128,431220
YER133W,chrV,+,432494,433958
tH(GUG)E2,chrV,-,434540,434612
tK(CUU)E2,chrV,-,435751,435824
YER133W-A,chrV,+,437190,437532
YER134C,chrV,-,437266,437803
YER135C,chrV,-,437951,438344
tV(AAC)E1,chrV,+,438699,438773
YER136W,chrV,+,439615,440971
YER137C,chrV,-,441372,441819
YER137W-A,chrV,+,441574,441880
SCR1,chrV,+,441986,442508
tI(AAU)E1,chrV,-,443201,443275
YER138C,chrV,-,443755,449024
YER137C-A,chrV,-,447701,449024
YER138W-A,chrV,+,449473,449578
YER139C,chrV,-,450562,451243
YER140W,chrV,+,451564,453235
YER141W,chrV,+,453458,454919
YER142C,chrV,-,455145,456036
YER143W,chrV,+,456318,457605
YER144C,chrV,-,457805,460223
YER145C,chrV,-,460525,461740
YER145C-A,chrV,-,462385,462823
YER146W,chrV,+,462584,462866
YER147C,chrV,-,462967,464842
YER147C-A,chrV,-,465202,465613
YER148W,chrV,+,465302,466025
YER148W-A,chrV,+,466184,466763
YER149C,chrV,-,466207,467470
YER150W,chrV,+,468369,468816
tV(AAC)E2,chrV,+,469456,469530
YER151C,chrV,-,469685,472424
YER152C,chrV,-,472656,473988
YER152W-A,chrV,+,473484,474051
YER153C,chrV,-,474040,474805
YER154W,chrV,+,475019,476228
YER155C,chrV,-,476344,482848
YER156C,chrV,-,483324,484341
YER157W,chrV,+,484787,487193
tE(UUC)E3,chrV,-,487330,487402
YER158C,chrV,-,488856,490578
YER158W-A,chrV,+,491486,491702
YER159C,chrV,-,491529,491958
tR(ACG)E,chrV,-,492351,492424
YER160C,chrV,-,492855,498124
YER159C-A,chrV,-,496801,498124
YER161C,chrV,-,499346,500348
YER162C,chrV,-,500629,502894
YER163C,chrV,-,503083,503782
YER164W,chrV,+,505391,509798
YER165W,chrV,+,510372,512106
YER165C-A,chrV,-,512626,512983
YER166W,chrV,+,512743,517459
YER167W,chrV,+,518215,520771
YER168C,chrV,-,521028,522669
YER169W,chrV,+,523368,525759
YER170W,chrV,+,525973,526651
YER171W,chrV,+,527081,529418
YER172C,chrV,-,529529,536021
YER172C-A,chrV,-,536274,536655
YER173W,chrV,+,536299,538279
YER174C,chrV,-,538433,539168
YER175C,chrV,-,539463,540363
YER175W-A,chrV,+,540649,540814
YER176W,chrV,+,541689,545055
YER177W,chrV,+,545610,546414
YER178W,chrV,+,546816,548079
YER179W,chrV,+,548420,549517
YER180C,chrV,-,549723,550527
YER180C-A,chrV,-,550864,551122
tI(AAU)E2,chrV,-,551284,551358
YER181C,chrV,-,551472,551796
YER182W,chrV,+,552524,553259
YER183C,chrV,-,553333,553969
YER184C,chrV,-,556295,558680
YER185W,chrV,+,559453,560365
YER186C,chrV,-,561704,562625
YER187W,chrV,+,566229,566655
YER188W,chrV,+,568039,568759
YER188C-A,chrV,-,569607,569907
YER189W,chrV,+,571154,571523
YER190W,chrV,+,571479,576525
YER190C-A,chrV,-,574803,575379
YER190C-B,chrV,-,575679,576162
YFL068W,chrVI,+,52,535
YFL067W,chrVI,+,835,1363
YFL066C,chrVI,-,1436,2615
YFL065C,chrVI,-,3029,3338
YFL064C,chrVI,-,3321,3846
YFL063W,chrVI,+,5065,5521
YFL062W,chrVI,+,6425,7565
YFL061W,chrVI,+,9544,10222
YFL060C,chrVI,-,10300,10969
YFL059W,chrVI,+,11362,12259
YFL058W,chrVI,+,12928,13951
YFL057C,chrVI,-,14304,14763
YFL056C,chrVI,-,14792,15431
YFL055W,chrVI,+,17003,18680
YFL054C,chrVI,-,20846,22787
YFL053W,chrVI,+,23422,25198
YFL052W,chrVI,+,28231,29629
YFL051C,chrVI,-,30057,30540
YFL050C,chrVI,-,33271,35848
YFL049W,chrVI,+,36802,38674
YFL048C,chrVI,-,38842,40180
YFL047W,chrVI,+,40420,42565
YFL046W,chrVI,+,42814,43438
YFL045C,chrVI,-,43627,44392
YFL044C,chrVI,-,44654,45560
YFL042C,chrVI,-,45719,47744
YFL041W-A,chrVI,+,48733,48925
YFL041W,chrVI,+,49138,51007
YFL040W,chrVI,+,51349,52972
YFL039C,chrVI,-,53259,54696
YFL038C,chrVI,-,55365,55986
YFL037W,chrVI,+,56335,57709
RUF21,chrVI,-,57814,58521
YFL036W,chrVI,+,58781,62837
YFL034C-B,chrVI,-,63015,63993
YFL034C-A,chrVI,-,64242,64932
YFL034W,chrVI,+,65476,68698
YFL033C,chrVI,-,69114,74427
YFL032W,chrVI,+,74871,75192
YFL031W,chrVI,+,75178,76147
YFL031C-A,chrVI,-,76013,76115
YFL030W,chrVI,+,76830,77988
YFL029C,chrVI,-,78054,79161
YFL028C,chrVI,-,79343,80213
YFL027C,chrVI,-,80418,81912
YFL026W,chrVI,+,82579,83875
YFL025C,chrVI,-,84144,87234
YFL024C,chrVI,-,87846,90345
YFL023W,chrVI,+,90985,93376
YFL022C,chrVI,-,93498,95010
YFL021C-A,chrVI,-,95760,96615
YFL021W,chrVI,+,95965,97498
YFL020C,chrVI,-,99230,99599
YFL019C,chrVI,-,100251,100605
tP(UGG)F,chrVI,+,101375,101478
YFL018C,chrVI,-,101627,103127
YFL017W-A,chrVI,+,103698,103932
YFL017C,chrVI,-,103982,104462
YFL016C,chrVI,-,104700,106236
YFL015W-A,chrVI,+,106414,106732
YFL015C,chrVI,-,106468,106963
YFL014W,chrVI,+,107255,107585
YFL013W-A,chrVI,+,107798,108602
YFL013C,chrVI,-,107851,109930
YFL012W-A,chrVI,+,109809,110184
YFL012W,chrVI,+,110646,111093
YFL011W,chrVI,+,112344,113985
YFL010W-A,chrVI,+,114989,115274
YFL010C,chrVI,-,115107,115743
YFL009W,chrVI,+,116144,118484
YFL008W,chrVI,+,119428,123106
YFL007W,chrVI,+,123478,129910
YFL005W,chrVI,+,130333,130981
RUF20,chrVI,-,131060,131503
YFL004W,chrVI,+,131809,134296
YFL003C,chrVI,-,134520,137157
tN(GUU)F,chrVI,-,137485,137559
YFL002W-A,chrVI,+,138203,143517
YFL002W-B,chrVI,+,138203,139520
YFL002C,chrVI,-,145113,146934
YFL001W,chrVI,+,147130,148459
YFR001W,chrVI,+,149109,149724
YFR002W,chrVI,+,150015,152535
YFR003C,chrVI,-,152656,153124
YFR004W,chrVI,+,153392,154313
YFR005C,chrVI,-,154526,155873
YFR006W,chrVI,+,156144,157752
tF(GAA)F,chrVI,-,157915,158007
YFR007W,chrVI,+,159298,160360
YFR008W,chrVI,+,160534,161200
tG(GCC)F1,chrVI,+,162227,162298
YFR009W,chrVI,+,162487,164746
YFR009W-A,chrVI,+,163874,164132
YFR010W,chrVI,+,165066,166566
YFR010W-A,chrVI,+,166727,166916
YFR011C,chrVI,-,166745,167258
tY(GUA)F1,chrVI,+,167436,167525
YFR012W,chrVI,+,167887,168496
YFR012W-A,chrVI,+,169223,169310
YFR013W,chrVI,+,169921,172285
YFR014C,chrVI,-,172536,173877
YFR015C,chrVI,-,174264,176391
YFR016C,chrVI,-,177041,180743
tG(GCC)F2,chrVI,-,180973,181044
YFR017C,chrVI,-,182273,182861
YFR018C,chrVI,-,183130,184222
YFR019W,chrVI,+,184501,191338
tS(GCU)F,chrVI,-,191512,191613
YFR020W,chrVI,+,192736,193435
YFR021W,chrVI,+,194811,196314
YFR022W,chrVI,+,196832,199034
RUF22,chrVI,-,199298,199813
YFR023W,chrVI,+,199873,201709
YFR024C-A,chrVI,-,201959,203433
YFR025C,chrVI,-,203742,204750
tA(AGC)F,chrVI,-,204923,204996
YFR026C,chrVI,-,205747,206257
YFR027W,chrVI,+,207451,208297
YFR028C,chrVI,-,208412,210068
tY(GUA)F2,chrVI,-,210618,210707
YFR029W,chrVI,+,210936,212973
YFR030W,chrVI,+,213311,216419
YFR031C,chrVI,-,216593,220106
YFR031C-A,chrVI,-,220506,221418
RUF23,chrVI,+,221713,221967
YFR032C,chrVI,-,222089,222959
YFR032C-A,chrVI,-,223257,223437
YFR032C-B,chrVI,-,223709,223973
YFR033C,chrVI,-,224325,224769
YFR034C,chrVI,-,225019,225958
YFR034W-A,chrVI,+,226021,226309
YFR035C,chrVI,-,226120,226465
tK(CUU)F,chrVI,-,226687,226760
YFR036W,chrVI,+,226962,227337
YFR036W-A,chrVI,+,227450,228101
YFR037C,chrVI,-,227512,229186
YFR038W,chrVI,+,229379,231941
YFR039C,chrVI,-,232011,233544
YFR040W,chrVI,+,234241,237250
YFR041C,chrVI,-,237367,238255
YFR042W,chrVI,+,238457,239060
YFR043C,chrVI,-,239113,239827
YFR044C,chrVI,-,239991,241437
YFR045W,chrVI,+,241997,242999
YFR046C,chrVI,-,243073,244159
YFR047C,chrVI,-,244278,245166
YFR048W,chrVI,+,246145,248134
YFR049W,chrVI,+,248522,248894
YFR050C,chrVI,-,249065,249866
YFR051C,chrVI,-,250162,251803
YFR052W,chrVI,+,252504,253329
YFR052C-A,chrVI,-,253428,253734
YFR053C,chrVI,-,253591,255049
YFR054C,chrVI,-,258854,259433
