ENSG,chromosome,orientation,gname,start,end
ENSG00000008128,chr1,-,CDK11A,1702730,1724324
ENSG00000239704,chr17,-,CDRT4,15436015,15503608
ENSG00000185888,chr1,+,PRSS38,227815693,227846470
ENSG00000197272,chr16,-,IL27,28499362,28512051
ENSG00000169508,chr13,-,GPR183,99294530,99307405
ENSG00000216490,chr19,+,IFI30,18173162,18178117
ENSG00000137720,chr11,+,C11orf1,111878935,111885975
ENSG00000178662,chr2,+,CSRNP3,165469647,165689407
ENSG00000131203,chr8,+,IDO1,39902275,39928444
ENSG00000181408,chr17,+,UTS2R,82374230,82375586
ENSG00000104892,chr19,+,KLC3,45333434,45351520
ENSG00000188549,chr15,-,C15orf52,40331452,40340967
ENSG00000168899,chr2,+,VAMP5,85584408,85593412
ENSG00000115457,chr2,+,IGFBP2,216632828,216664436
ENSG00000112701,chr6,+,SENP6,75601509,75718278
ENSG00000185880,chr15,+,TRIM69,44728988,44767829
ENSG00000136197,chr7,-,C7orf25,42908726,42912305
ENSG00000132024,chr19,+,CC2D1A,13906201,13930879
ENSG00000171478,chrX,+,SPACA5B,48130657,48132613
ENSG00000108091,chr10,-,CCDC6,59788763,59906656
ENSG00000168447,chr16,+,SCNN1B,23278231,23381299
ENSG00000145569,chr5,+,FAM105A,14581775,14615007
ENSG00000197587,chr1,+,DMBX1,46506996,46514226
ENSG00000149679,chr20,-,CABLES2,62388632,62407285
ENSG00000177150,chr18,-,FAM210A,13663347,13726663
ENSG00000137266,chr6,-,SLC22A23,3268962,3457022
ENSG00000158435,chr2,+,CNOT11,101252802,101270316
ENSG00000181072,chr7,+,CHRM2,136868669,137020255
ENSG00000183513,chr2,-,COA5,98599310,98608515
ENSG00000128346,chr22,-,C22orf23,37943050,37953669
ENSG00000137804,chr15,+,NUSAP1,41332694,41381050
ENSG00000076003,chr2,-,MCM6,135839626,135876426
ENSG00000163697,chr4,-,APBB2,40810027,41216714
ENSG00000165912,chr11,-,PACSIN3,47177525,47186443
ENSG00000133739,chr8,+,LRRCC1,85107147,85146076
ENSG00000206384,chr3,+,COL6A6,130560334,130678155
ENSG00000182362,chr21,+,YBEY,46286337,46297751
ENSG00000166527,chr12,+,CLEC4D,8509475,8522366
ENSG00000174010,chrX,-,KLHL15,23983720,24027186
ENSG00000185247,chrX,+,MAGEA11,149688228,149717266
ENSG00000115241,chr2,-,PPM1G,27381194,27409687
ENSG00000177989,chr22,-,ODF3B,50529710,50532580
ENSG00000151491,chr12,-,EPS8,15620158,15882329
ENSG00000170734,chr6,+,POLH,43576150,43615660
ENSG00000182858,chr22,-,ALG12,49900229,49918458
ENSG00000170948,chr19,+,MBD3L1,8832398,8843340
ENSG00000125962,chrX,+,ARMCX5,102599168,102604159
ENSG00000214518,chr17,-,KRTAP2-2,41054498,41055230
ENSG00000278053,chr17,-,DDX52,37609739,37643464
ENSG00000155561,chr7,+,NUP205,135557919,135648757
ENSG00000163631,chr4,+,ALB,73397114,73421412
ENSG00000167104,chr20,+,BPIFB6,33031648,33044047
ENSG00000112964,chr5,+,GHR,42423777,42721878
ENSG00000177692,chr21,-,DNAJC28,33485530,33491720
ENSG00000259024,chr17,-,TVP23C-CDRT4,15436021,15563561
ENSG00000137547,chr8,+,MRPL15,54135210,54147901
ENSG00000186487,chr2,-,MYT1L,1789113,2331260
ENSG00000131089,chrX,-,ARHGEF9,63634967,63809274
ENSG00000143442,chr1,-,POGZ,151402724,151459465
ENSG00000122642,chr7,+,FKBP9,32957404,33006931
ENSG00000083750,chrX,+,RRAGB,55717739,55758774
ENSG00000110844,chr12,+,PRPF40B,49568218,49644666
ENSG00000143816,chr1,-,WNT9A,227918656,227947898
ENSG00000149357,chr11,-,LAMTOR1,72085895,72103387
ENSG00000117010,chr1,+,ZNF684,40531561,40548169
ENSG00000088992,chr12,-,TESC,117038923,117099479
ENSG00000278599,chr17,+,TBC1D3E,38005561,38138862
ENSG00000177156,chr11,+,TALDO1,747329,765024
ENSG00000107140,chr9,+,TESK1,35605305,35610041
ENSG00000166987,chr12,+,MBD6,57520710,57530148
ENSG00000168172,chr8,+,HOOK3,42896932,43030539
ENSG00000254726,chr1,-,MEX3A,156072013,156081998
ENSG00000101493,chr18,-,ZNF516,76358190,76495190
ENSG00000183396,chr3,-,TMEM89,48620759,48621855
ENSG00000244187,chr9,+,TMEM141,136791355,136793257
ENSG00000179855,chr19,+,GIPC3,3585553,3593541
ENSG00000183426,chr16,+,NPIPA1,14750813,14952060
ENSG00000266524,chr10,+,GDF10,47300386,47313547
ENSG00000099812,chr19,+,MISP,751126,764318
ENSG00000088247,chr19,-,KHSRP,6413348,6424794
ENSG00000135486,chr12,+,HNRNPA1,54280193,54287088
ENSG00000094841,chrX,+,UPRT,75274085,75304600
ENSG00000185087,chr15,-,FAM169B,98437162,98514382
ENSG00000180900,chr8,-,SCRIB,143790920,143815379
ENSG00000224089,chrX,-,CT47A10,120938701,120942023
ENSG00000184601,chr14,+,C14orf180,104579684,104590515
ENSG00000111912,chr6,+,NCOA7,125781161,125932030
ENSG00000185324,chr16,+,CDK10,89680737,89696364
ENSG00000118491,chr6,+,ZC2HC1B,143864436,143938356
ENSG00000255104,chr17,+,TBC1D26,15699692,15744783
ENSG00000134452,chr10,+,FBXO18,5890203,5937594
ENSG00000167766,chr19,-,ZNF83,52594060,52690496
ENSG00000006712,chr19,-,PAF1,39385852,39391195
ENSG00000182809,chr14,+,CRIP2,105472962,105480170
ENSG00000185100,chr14,+,ADSSL1,104724186,104747325
ENSG00000129673,chr17,+,AANAT,76453351,76470117
ENSG00000184544,chr17,-,DHRS7C,9771434,9791297
ENSG00000141437,chr18,-,SLC25A52,31759562,31760880
ENSG00000178927,chr17,-,C17orf62,82442589,82450829
ENSG00000235780,chr4,+,USP17L27,9344148,9345740
ENSG00000184545,chr11,-,DUSP8,1554044,1571920
ENSG00000182346,chr13,+,DAOA,105465867,105491034
ENSG00000146828,chr7,+,SLC12A9,100826820,100867009
ENSG00000168502,chr18,+,MTCL1,8705661,8832778
ENSG00000130881,chr19,+,LRP3,33177603,33208867
ENSG00000172139,chr3,-,SLC9C1,112140887,112294258
ENSG00000127184,chr5,+,COX7C,86617904,86620962
ENSG00000125304,chr13,+,TM9SF2,99501417,99564006
ENSG00000110871,chr12,-,COQ5,120503274,120534434
ENSG00000189120,chr17,-,SP6,47844908,47855874
ENSG00000154265,chr17,-,ABCA5,69244311,69327244
ENSG00000006756,chrX,-,ARSD,2903970,2929351
ENSG00000105135,chr19,-,ILVBL,15114984,15125785
ENSG00000159445,chr1,-,THEM4,151873584,151909808
ENSG00000119912,chr10,-,IDE,92451684,92574076
ENSG00000271601,chr1,-,LIX1L,145933423,145958001
ENSG00000110911,chr12,-,SLC11A2,50979401,51028566
ENSG00000167759,chr19,-,KLK13,51056206,51065114
ENSG00000113761,chr5,+,ZNF346,177022696,177081189
ENSG00000205022,chr16,-,PABPN1L,88863333,88866660
ENSG00000111206,chr12,-,FOXM1,2857681,2877155
ENSG00000155096,chr8,-,AZIN1,102826357,102893864
ENSG00000080986,chr18,+,NDC80,2571511,2616635
ENSG00000077616,chr11,+,NAALAD2,90131515,90192894
ENSG00000149090,chr11,-,PAMR1,35431823,35530300
ENSG00000181958,chr11,+,OR4A15,55367884,55368918
ENSG00000176055,chr5,-,MBLAC2,90458203,90474768
ENSG00000105364,chr19,+,MRPL4,10251901,10260045
ENSG00000162365,chr1,+,CYP4A22,47137435,47149741
ENSG00000203963,chr1,-,C1orf141,67092165,67231853
ENSG00000214290,chr11,+,COLCA2,111298546,111308735
ENSG00000219073,chr1,+,CELA3B,21977021,21998642
ENSG00000187944,chr2,-,C2orf66,196805002,196810276
ENSG00000046604,chr18,+,DSG2,31498043,31549008
ENSG00000173678,chr7,+,SPDYE2B,102650325,102661398
ENSG00000188937,chrX,+,NYX,41447434,41475710
ENSG00000273025,chr15,-,RP11-106M3.5,72266746,72319946
ENSG00000164972,chr9,-,C9orf24,34379019,34397832
ENSG00000027847,chr5,+,B4GALT7,177600100,177610347
ENSG00000100626,chr14,+,GALNT16,69259277,69357033
ENSG00000142541,chr19,+,RPL13A,49487554,49492308
ENSG00000170255,chr11,-,MRGPRX1,18933813,18939507
ENSG00000142515,chr19,+,KLK3,50854915,50860764
ENSG00000048162,chr5,-,NOP16,176383938,176388975
ENSG00000228049,chr7,-,POLR2J2,102665368,102671629
ENSG00000166123,chr16,+,GPT2,46884378,46931297
ENSG00000249992,chr3,-,TMEM158,45224466,45226278
ENSG00000141551,chr17,-,CSNK1D,82239023,82273731
ENSG00000141258,chr17,+,SGSM2,2337498,2381058
ENSG00000002933,chr7,+,TMEM176A,150800403,150805120
ENSG00000125746,chr19,-,EML2,45606994,45645629
ENSG00000152611,chr5,-,CAPSL,35904295,35938779
ENSG00000008282,chr7,-,SYPL1,106090503,106112576
ENSG00000155366,chr1,-,RHOC,112701106,112707434
ENSG00000172728,chr8,-,FUT10,33370824,33473422
ENSG00000101695,chr18,+,RNF125,32018372,32073213
ENSG00000173486,chr11,+,FKBP2,64241003,64244132
ENSG00000007402,chr3,-,CACNA2D2,50362799,50504244
ENSG00000156011,chr8,-,PSD3,18527301,19084730
ENSG00000183323,chr5,-,CCDC125,69280175,69332809
ENSG00000171858,chr20,+,RPS21,62387116,62388520
ENSG00000213741,chr14,-,RPS29,49570984,49599164
ENSG00000196182,chr1,-,STK40,36339624,36385896
ENSG00000188152,chr9,+,NUTM2G,96928310,96940253
ENSG00000118733,chr1,-,OLFM3,101802574,101997030
ENSG00000096092,chr6,+,TMEM14A,52671109,52686588
ENSG00000114251,chr3,-,WNT5A,55465715,55490539
ENSG00000159388,chr1,+,BTG2,203305491,203309602
ENSG00000167528,chr12,-,ZNF641,48337180,48351414
ENSG00000164434,chr6,+,FABP7,122779475,122784074
ENSG00000187173,chr1,+,LCE2A,152698364,152699442
ENSG00000122482,chr1,-,ZNF644,90915298,91022272
ENSG00000145681,chr5,-,HAPLN1,83637805,83721613
ENSG00000146830,chr7,-,GIGYF1,100679507,100689448
ENSG00000178952,chr16,-,TUFM,28842411,28846408
ENSG00000175782,chr12,+,SLC35E3,68746106,68793964
ENSG00000198841,chr1,-,KTI12,52032103,52033816
ENSG00000147533,chr8,+,GOLGA7,41490396,41510980
ENSG00000034533,chr3,-,ASTE1,131013875,131027649
ENSG00000164363,chr5,+,SLC6A18,1225355,1246189
ENSG00000100380,chr22,-,ST13,40824535,40857022
ENSG00000189401,chrX,+,OTUD6A,70062491,70064179
ENSG00000136929,chr9,-,HEMGN,97926791,97944856
ENSG00000196350,chr19,+,ZNF729,22286408,22317176
ENSG00000173065,chr17,-,FAM222B,28755978,28855232
ENSG00000043514,chr1,-,TRIT1,39841022,39883511
ENSG00000136867,chr9,+,SLC31A2,113150942,113164137
ENSG00000145777,chr5,+,TSLP,111070062,111078024
ENSG00000117139,chr1,-,KDM5B,202724491,202809470
ENSG00000163098,chr19,-,BIRC8,53289601,53291626
ENSG00000186105,chr5,+,LRRC70,62578735,62581448
ENSG00000152430,chr2,-,BOLL,197726879,197786762
ENSG00000118520,chr6,+,ARG1,131573144,131584332
ENSG00000145912,chr5,-,NHP2,178149460,178153967
ENSG00000111911,chr6,+,HINT3,125956781,125980244
ENSG00000124783,chr6,-,SSR1,7268306,7347446
ENSG00000104825,chr19,+,NFKBIB,38899700,38908893
ENSG00000137261,chr6,-,KIAA0319,24544104,24646155
ENSG00000144820,chr3,+,ADGRG7,100609589,100695479
ENSG00000143278,chr1,-,F13B,197039191,197067267
ENSG00000158717,chr16,-,RNF166,88696495,88706421
ENSG00000165887,chr10,+,ANKRD2,97572499,97583884
ENSG00000137821,chr15,+,LRRC49,70853239,71053657
ENSG00000113205,chr5,+,PCDHB3,141100473,141103827
ENSG00000100429,chr22,-,HDAC10,50245183,50251405
ENSG00000120253,chr6,-,NUP43,149724315,149749665
ENSG00000100368,chr22,+,CSF2RB,36913628,36940449
ENSG00000161800,chr12,-,RACGAP1,49976923,50033136
ENSG00000007866,chr6,-,TEAD3,35473597,35497076
ENSG00000176641,chr18,-,RNF152,61808063,61894247
ENSG00000011260,chr17,+,UTP18,51260528,51297936
ENSG00000179958,chr16,-,DCTPP1,30423619,30430075
ENSG00000120948,chr1,+,TARDBP,11012344,11026420
ENSG00000072182,chr2,+,ASIC4,219514170,219538772
ENSG00000106330,chr7,+,MOSPD3,100612102,100615384
ENSG00000095370,chr9,-,SH2D3C,127738317,127778741
ENSG00000103522,chr16,+,IL21R,27402162,27452042
ENSG00000146385,chr6,+,TAAR8,132552693,132553721
ENSG00000139194,chr12,-,RBP5,7123684,7128942
ENSG00000197745,chr11,-,SCGB1D4,62296277,62299064
ENSG00000183793,chr16,-,NPIPA5,15363624,15381047
ENSG00000102034,chrX,-,ELF4,130064874,130110716
ENSG00000182521,chr14,-,TBPL2,55413541,55456726
ENSG00000204909,chr5,+,SPINK9,148321203,148339849
ENSG00000092203,chr14,+,TOX4,21476597,21499175
ENSG00000170631,chr8,-,ZNF16,144930358,144950888
ENSG00000149201,chr11,+,CCDC81,86374736,86423109
ENSG00000170802,chr2,+,FOXN2,48314637,48379294
ENSG00000204370,chr11,+,SDHD,112086773,112120013
ENSG00000095464,chr10,+,PDE6C,93612588,93666010
ENSG00000165233,chr9,+,CARD19,93096218,93113283
ENSG00000163913,chr3,+,IFT122,129440036,129520507
ENSG00000184210,chrX,+,DGAT2L6,70177483,70205545
ENSG00000269058,chr19,-,CALR3,16479057,16496192
ENSG00000106178,chr7,-,CCL24,75811665,75823356
ENSG00000159337,chr15,-,PLA2G4D,42067009,42094554
ENSG00000123572,chrX,+,NRK,105822543,105958610
ENSG00000117691,chr1,+,NENF,212432887,212446379
ENSG00000186566,chr17,-,GPATCH8,44395284,44503430
ENSG00000105127,chr19,-,AKAP8,15353385,15379798
ENSG00000149554,chr11,+,CHEK1,125625136,125676255
ENSG00000151366,chr11,-,NDUFC2,78068304,78080219
ENSG00000198826,chr15,+,ARHGAP11A,32615144,32639949
ENSG00000151116,chr11,-,UEVLD,18529609,18588747
ENSG00000166986,chr12,+,MARS,57475445,57517569
ENSG00000184486,chr6,+,POU3F2,98834592,98839490
ENSG00000196338,chrX,+,NLGN3,71144831,71171201
ENSG00000112159,chr6,-,MDN1,89642499,89819723
ENSG00000255713,chr17,+,OR4D2,58169656,58170579
ENSG00000196535,chr17,-,MYO18A,29073517,29180412
ENSG00000137806,chr15,-,NDUFAF1,41387349,41402519
ENSG00000146007,chr5,+,ZMAT2,140698680,140706676
ENSG00000148482,chr10,+,SLC39A12,17951839,18043292
ENSG00000120875,chr8,-,DUSP4,29333064,29350668
ENSG00000186106,chr8,-,ANKRD46,100509752,100559784
ENSG00000172375,chr11,+,C2CD2L,119102198,119118544
ENSG00000154611,chr18,+,PSMA8,26133852,26193355
ENSG00000204624,chr1,+,PTCHD2,11479166,11537584
ENSG00000149742,chr11,+,SLC22A9,63369789,63410294
ENSG00000121417,chr19,+,ZNF211,57630395,57642779
ENSG00000119314,chr9,-,PTBP3,112217716,112333667
ENSG00000142549,chr19,+,IGLON5,51311848,51330354
ENSG00000138685,chr4,+,FGF2,122826708,122898236
ENSG00000184916,chr14,-,JAG2,105140981,105168824
ENSG00000169641,chr1,-,LUZP1,23084023,23177808
ENSG00000100387,chr22,+,RBX1,40951347,40973309
ENSG00000146221,chr6,-,TCTE1,44278743,44297688
ENSG00000163206,chr1,+,SMCP,152878317,152885047
ENSG00000267467,chr19,+,APOC4,44942238,44945496
ENSG00000177548,chr16,-,RABEP2,28904421,28936526
ENSG00000187672,chr3,-,ERC2,55508308,56468363
ENSG00000164086,chr3,-,DUSP7,52048919,52056550
ENSG00000137691,chr11,+,C11orf70,102047443,102084560
ENSG00000135124,chr12,+,P2RX4,121209857,121234106
ENSG00000137193,chr6,+,PIM1,37170203,37175426
ENSG00000186350,chr9,+,RXRA,134317098,134440585
ENSG00000147465,chr8,-,STAR,38143649,38151265
ENSG00000256618,chr17,+,MTRNR2L1,22523111,22524663
ENSG00000114646,chr3,-,CSPG5,47562239,47580792
ENSG00000163660,chr3,-,CCNL1,157146508,157160760
ENSG00000188909,chr11,-,BSX,122977570,122981720
ENSG00000185619,chr4,+,PCGF3,705748,770640
ENSG00000160633,chr19,+,SAFB,5623035,5668478
ENSG00000172817,chr8,-,CYP7B1,64587763,64798761
ENSG00000141577,chr17,-,CEP131,81189593,81222999
ENSG00000100138,chr22,-,SNU13,41673930,41690504
ENSG00000142405,chr19,-,NLRP12,53793603,53824394
ENSG00000146411,chr6,-,SLC2A12,133988697,134052636
ENSG00000141179,chr17,+,PCTP,55750979,55842830
ENSG00000101846,chrX,+,STS,7219456,7354810
ENSG00000240303,chr3,-,ACAD11,132558138,132660723
ENSG00000138336,chr10,+,TET1,68560656,68694482
ENSG00000125144,chr16,-,MT1G,56666731,56668065
ENSG00000196352,chr1,+,CD55,207321508,207386804
ENSG00000114859,chr3,-,CLCN2,184346185,184361651
ENSG00000181322,chr3,-,NME9,138261437,138329886
ENSG00000083812,chr19,+,ZNF324,58467045,58475436
ENSG00000145879,chr5,+,SPINK7,148312419,148315922
ENSG00000114648,chr3,+,KLHL18,47282917,47346816
ENSG00000273542,chr6,-,HIST1H4K,27831216,27831527
ENSG00000082258,chr2,+,CCNT2,134918235,134959342
ENSG00000165509,chrX,+,MAGEC3,141838316,141897832
ENSG00000177511,chr18,+,ST8SIA3,57350813,57371731
ENSG00000168056,chr11,-,LTBP3,65538560,65558930
ENSG00000154429,chr1,-,CCSAP,229321005,229343294
ENSG00000167619,chr19,+,TMEM145,42313325,42325062
ENSG00000254521,chr19,-,SIGLEC12,51491357,51501789
ENSG00000164893,chr8,-,SLC7A13,86214052,86321146
ENSG00000179292,chr11,+,TMEM151A,66291870,66296664
ENSG00000111834,chr6,+,RSPH4A,116616479,116632985
ENSG00000010379,chr12,-,SLC6A13,220621,262873
ENSG00000108961,chr17,+,RANGRF,8288497,8290092
ENSG00000106692,chr9,+,FKTN,105558130,105641118
ENSG00000186625,chr6,-,KATNA1,149594873,149648972
ENSG00000134285,chr12,-,FKBP11,48921518,48926474
ENSG00000047662,chr4,-,FAM184B,17629306,17781512
ENSG00000205784,chr19,-,ARRDC5,4890437,4902867
ENSG00000097096,chr1,-,SYDE2,85156873,85201046
ENSG00000184154,chr11,+,LRTOMT,72080331,72110782
ENSG00000116754,chr1,+,SRSF11,70205682,70253052
ENSG00000114854,chr3,-,TNNC1,52451102,52454070
ENSG00000119396,chr9,-,RAB14,121178137,121223014
ENSG00000040731,chr5,-,CDH10,24487100,24644978
ENSG00000154997,chr7,-,SEPT14,55793544,55862789
ENSG00000185813,chr17,-,PCYT2,81900965,81911464
ENSG00000264343,chr1,-,NOTCH2NL,146146203,146229026
ENSG00000100031,chr22,+,GGT1,24583750,24629005
ENSG00000170465,chr12,-,KRT6C,52468516,52473785
ENSG00000165704,chrX,+,HPRT1,134460153,134520513
ENSG00000132964,chr13,+,CDK8,26254104,26405238
ENSG00000157657,chr9,+,ZNF618,113876282,114056591
ENSG00000128253,chr22,-,RFPL2,32190435,32203477
ENSG00000197565,chrX,-,COL4A6,108155607,108439497
ENSG00000135506,chr12,+,OS9,57693955,57721557
ENSG00000254122,chr5,+,PCDHGB7,141417645,141512979
ENSG00000231051,chr4,+,USP17L28,9348893,9350485
ENSG00000240053,chr6,+,LY6G5B,31670167,31673776
ENSG00000149761,chr11,+,NUDT22,64225941,64230686
ENSG00000042813,chr7,-,ZPBP,49850421,50121329
ENSG00000137819,chr15,+,PAQR5,69298947,69407780
ENSG00000158077,chr11,+,NLRP14,7020446,7071308
ENSG00000071626,chr19,+,DAZAP1,1407569,1435687
ENSG00000169297,chrX,-,NR0B1,30304206,30309598
ENSG00000132600,chr16,+,PRMT7,68310974,68358563
ENSG00000128383,chr22,+,APOBEC3A,38952741,38992778
ENSG00000125952,chr14,-,MAX,65006174,65102695
ENSG00000100023,chr22,+,PPIL2,21652270,21700015
ENSG00000103494,chr16,-,RPGRIP1L,53597683,53703938
ENSG00000138639,chr4,+,ARHGAP24,85475114,86002670
ENSG00000180205,chr20,-,WFDC9,45607939,45631268
ENSG00000145864,chr5,-,GABRB2,161288429,161549044
ENSG00000165312,chr10,+,OTUD1,23439458,23442390
ENSG00000182698,chr2,-,RESP18,219327409,219333177
ENSG00000159208,chr1,+,CIART,150282543,150287093
ENSG00000021762,chr11,-,OSBPL5,3087116,3166739
ENSG00000204580,chr6,+,DDR1,30876421,30900156
ENSG00000173349,chr2,+,SFT2D3,127701508,127705242
ENSG00000167977,chr16,+,KCTD5,2682475,2709030
ENSG00000170113,chr15,+,NIPA1,22773063,22829791
ENSG00000022567,chr8,-,SLC45A4,141207166,141308305
ENSG00000214300,chr7,+,SPDYE3,100307702,100322196
ENSG00000183617,chr19,+,MRPL54,3762664,3768575
ENSG00000226600,chrX,-,CT47A9,120943561,120946883
ENSG00000099992,chr22,-,TBC1D10A,30291990,30327046
ENSG00000168079,chr8,-,SCARA5,27869882,27992727
ENSG00000158813,chrX,+,EDA,69616067,70039469
ENSG00000153208,chr2,+,MERTK,111898479,112029561
ENSG00000131080,chrX,-,EDA2R,66595637,66639298
ENSG00000188921,chr9,-,HACD4,20999515,21031636
ENSG00000147799,chr8,-,ARHGAP39,144529179,144605816
ENSG00000116254,chr1,-,CHD5,6101793,6180123
ENSG00000168309,chr3,-,FAM107A,58564117,58627610
ENSG00000124733,chr6,-,MEA1,43012094,43013968
ENSG00000205457,chr16,+,TP53TG3C,33193659,33306938
ENSG00000163393,chr1,+,SLC22A15,115976498,116070054
ENSG00000133597,chr7,+,ADCK2,140673153,140696261
ENSG00000161298,chr19,+,ZNF382,36604817,36634113
ENSG00000151726,chr4,-,ACSL1,184755595,184826818
ENSG00000168026,chr3,+,TTC21A,39107704,39138903
ENSG00000001036,chr6,-,FUCA2,143494811,143511690
ENSG00000160199,chr21,+,PKNOX1,42974510,43033931
ENSG00000149305,chr11,+,HTR3B,113904677,113946565
ENSG00000155755,chr2,-,TMEM237,201620184,201643570
ENSG00000157617,chr21,-,C2CD2,41885112,41953890
ENSG00000140092,chr14,-,FBLN5,91869412,91947987
ENSG00000140263,chr15,+,SORD,45023104,45077185
ENSG00000177084,chr12,-,POLE,132623753,132687365
ENSG00000106591,chr7,+,MRPL32,42932200,42948958
ENSG00000176595,chr8,+,KBTBD11,1973878,2006936
ENSG00000185028,chr5,+,LRRC14B,191511,195353
ENSG00000162545,chr1,-,CAMK2N1,20482391,20486220
ENSG00000166220,chr10,-,TBATA,70771239,70785401
ENSG00000067365,chr16,+,METTL22,8621683,8649654
ENSG00000105270,chr19,-,CLIP3,36014660,36033343
ENSG00000129691,chr8,+,ASH2L,38105242,38144076
ENSG00000125148,chr16,+,MT2A,56608199,56609497
ENSG00000041988,chr1,+,THAP3,6624866,6635586
ENSG00000064419,chr7,-,TNPO3,128954180,129055173
ENSG00000147027,chrX,-,TMEM47,34627064,34657288
ENSG00000120738,chr5,+,EGR1,138465490,138469315
ENSG00000101654,chr18,+,RNMT,13726660,13764558
ENSG00000213999,chr19,-,MEF2B,19145568,19170289
ENSG00000136542,chr2,+,GALNT5,157257598,157314211
ENSG00000255298,chr11,+,OR8G5,124264827,124265867
ENSG00000204176,chr10,+,SYT15,46578217,46594173
ENSG00000276547,chr5,+,PCDHGB5,141397987,141512979
ENSG00000197603,chr5,-,C5orf42,37106228,37249428
ENSG00000175324,chr8,-,LSM1,38163321,38176730
ENSG00000183971,chr16,+,NPW,2009926,2020755
ENSG00000078898,chr20,+,BPIFB2,33007600,33023709
ENSG00000127920,chr7,+,GNG11,93921699,93928610
ENSG00000143333,chr1,-,RGS16,182598623,182604408
ENSG00000182208,chr11,-,MOB2,1469457,1501247
ENSG00000241476,chrX,-,SSX2,52644567,52707189
ENSG00000107331,chr9,-,ABCA2,137007227,137028922
ENSG00000086848,chr11,-,ALG9,111782195,111871581
ENSG00000197993,chr7,-,KEL,142941114,142962681
ENSG00000111199,chr12,-,TRPV4,109783085,109833401
ENSG00000162595,chr1,-,DIRAS3,68045962,68051631
ENSG00000130700,chr20,-,GATA5,62463497,62475970
ENSG00000167799,chr11,-,NUDT8,67627938,67629930
ENSG00000105287,chr19,-,PRKD2,46674275,46717127
ENSG00000203933,chrX,-,CXorf66,139955725,139965520
ENSG00000161929,chr17,-,SCIMP,5208961,5234860
ENSG00000087250,chr16,+,MT3,56589074,56591088
ENSG00000120697,chr13,-,ALG5,36949775,37000261
ENSG00000151151,chr10,-,IPMK,58191517,58267934
ENSG00000110693,chr11,-,SOX6,15966449,16739591
ENSG00000092841,chr12,+,MYL6,56158161,56163496
ENSG00000147416,chr8,+,ATP6V1B2,20197367,20226819
ENSG00000164548,chr7,-,TRA2A,23504780,23532041
ENSG00000135269,chr7,+,TES,116210493,116258783
ENSG00000187170,chr1,+,LCE4A,152708160,152709491
ENSG00000167768,chr12,-,KRT1,52674736,52680407
ENSG00000175352,chr11,-,NRIP3,8980576,9004049
ENSG00000130592,chr11,+,LSP1,1852970,1892267
ENSG00000130921,chr12,+,C12orf65,123232916,123257959
ENSG00000170604,chr19,-,IRF2BP1,45883607,45886170
ENSG00000065325,chr17,+,GLP2R,9822206,9892102
ENSG00000244693,chr7,-,CTAGE8,144266701,144269288
ENSG00000251380,chr5,-,DCANP1,135444214,135447348
ENSG00000228716,chr5,-,DHFR,80626228,80654983
ENSG00000111218,chr12,+,PRMT8,3381349,3593973
ENSG00000006194,chr16,+,ZNF263,3263800,3301401
ENSG00000166105,chr11,+,GLB1L3,134274245,134319564
ENSG00000104059,chr15,-,FAM189A1,29120254,29570723
ENSG00000100401,chr22,-,RANGAP1,41245611,41286251
ENSG00000143776,chr1,-,CDC42BPA,226989865,227318474
ENSG00000112280,chr6,-,COL9A1,70215061,70303083
ENSG00000177383,chr3,-,MAGEF1,184710367,184712002
ENSG00000205220,chr16,-,PSMB10,67934502,67937087
ENSG00000164403,chr5,-,SHROOM1,132822141,132830898
ENSG00000237440,chr19,-,ZNF737,20535825,20565809
ENSG00000129535,chr14,-,NRL,24080107,24115014
ENSG00000247596,chr3,-,TWF2,52228610,52239260
ENSG00000128335,chr22,-,APOL2,36226203,36239954
ENSG00000130559,chr9,-,CAMSAP1,135808487,135907228
ENSG00000117643,chr1,+,MAN1C1,25617468,25786207
ENSG00000130224,chrX,-,LRCH2,115110616,115234072
ENSG00000157540,chr21,+,DYRK1A,37365790,37517450
ENSG00000169221,chr16,-,TBC1D10B,30357102,30370264
ENSG00000172346,chr22,+,CSDC2,41560763,41577741
ENSG00000070388,chr19,+,FGF22,639879,644371
ENSG00000198798,chrX,+,MAGEB3,30230436,30237492
ENSG00000171872,chr1,+,KLF17,44118850,44135140
ENSG00000116353,chr1,-,MECR,29192873,29230942
ENSG00000154723,chr21,-,ATP5J,25716503,25735673
ENSG00000109158,chr4,-,GABRA4,46918900,46994407
ENSG00000178586,chr2,-,OR6B3,240045077,240046072
ENSG00000163635,chr3,+,ATXN7,63864557,64003462
ENSG00000023734,chr12,+,STRAP,15882391,15903478
ENSG00000205045,chr17,-,SLFN12L,35464249,35537861
ENSG00000164087,chr3,-,POC1A,52075253,52154690
ENSG00000164161,chr4,+,HHIP,144646021,144745271
ENSG00000183576,chr14,-,SETD3,99397746,99480889
ENSG00000172150,chr17,+,OR1A2,3197519,3198448
ENSG00000185046,chr12,-,ANKS1B,98726457,99984654
ENSG00000143924,chr2,+,EML4,42169350,42332548
ENSG00000167014,chr15,+,C15orf43,44956702,44979229
ENSG00000132141,chr17,-,CCT6B,34927859,34981078
ENSG00000278129,chr19,+,ZNF8,58278951,58302805
ENSG00000157856,chr2,+,DRC1,26401916,26456711
