chromosome,start,end,orientation,name,wbid,gname
chrI,4202419,4203042,+,C18E3.4,WBGene00015973,
chrI,4193241,4203307,+,C18E3.5,WBGene00015974,
chrI,4190144,4193130,+,C18E3.6,WBGene00015975,cas-2
chrI,4185062,4189932,+,C18E3.7,WBGene00004093,ppw-1
chrI,4208513,4210342,-,C18E3.8,WBGene00001985,hop-1
chrI,4214295,4215754,-,C18E3.9,WBGene00015976,
chrII,8960650,8961508,+,C18E9.1,WBGene00000286,cal-2
chrII,8955175,8964087,-,C18E9.10,WBGene00007690,
chrII,8993105,8994473,+,C18E9.11,WBGene00003870,ooc-5
chrII,8964991,8966857,+,C18E9.2,WBGene00007683,
chrII,8966859,8969411,-,C18E9.3,WBGene00004105,szy-20
chrII,8964176,8964839,-,C18E9.4,WBGene00007684,
chrII,8969921,8971906,+,C18E9.5,WBGene00007685,
chrII,8971896,8973504,-,C18E9.6,WBGene00007686,tomm-40
chrII,8978518,8982616,-,C18E9.7,WBGene00007687,
chrII,8985958,8987998,-,C18E9.8,WBGene00007688,
chrII,8988295,8989484,-,C18E9.9,WBGene00007689,
chrIII,6273108,6275964,+,C18F10.2,WBGene00015977,
chrIII,6256896,6258310,-,C18F10.4,WBGene00005159,srg-1
chrIII,6258538,6260163,-,C18F10.5,WBGene00005160,srg-2
chrIII,6269029,6270325,-,C18F10.6,WBGene00005161,srg-3
chrIII,6275957,6278305,-,C18F10.7,WBGene00015978,
chrIII,6266458,6268107,-,C18F10.8,WBGene00005165,srg-7
chrIII,6271509,6272907,+,C18F10.9,WBGene00015979,
chrIV,8062655,8083948,+,C18F3.2,WBGene00004732,sax-7
chrIV,8083947,8086638,-,C18F3.4,WBGene00044508,nsy-7
chrV,4777944,4779893,+,C18G1.1,WBGene00015980,
chrV,4770657,4773077,+,C18G1.2,WBGene00015981,elt-7
chrV,4760960,4764165,+,C18G1.3,WBGene00015982,
chrV,4755971,4758594,+,C18G1.4,WBGene00003994,pgl-3
chrV,4754299,4755459,+,C18G1.5,WBGene00001855,hil-4
chrV,4750566,4753805,+,C18G1.6,WBGene00015984,
chrV,4745555,4748075,+,C18G1.7,WBGene00015985,
chrV,4764252,4766587,-,C18G1.8,WBGene00015986,
chrV,4767874,4769681,-,C18G1.9,WBGene00015987,
chrIII,7662363,7672088,+,C18H2.1,WBGene00015988,
chrIII,7678955,7680792,-,C18H2.2,WBGene00015989,
chrIII,7684305,7687092,-,C18H2.3,WBGene00015990,
chrIII,7694489,7700557,+,C18H2.4,WBGene00015991,
chrIII,7689291,7694179,-,C18H2.5,WBGene00015992,
chrIV,615544,620930,+,C18H7.1,WBGene00015993,
chrIV,596902,598769,+,C18H7.11,WBGene00044457,
chrIV,586041,587829,-,C18H7.12,WBGene00189987,
chrIV,606361,614026,+,C18H7.2,WBGene00002140,inx-18
chrIV,604444,605876,+,C18H7.3,WBGene00000676,col-102
chrIV,593334,595234,+,C18H7.4,WBGene00015994,
chrIV,586291,587712,+,C18H7.5,WBGene00015995,
chrIV,590885,592485,-,C18H7.6,WBGene00015996,
chrIV,595722,596441,-,C18H7.7,WBGene00015997,
chrIV,599449,602676,-,C18H7.8,WBGene00015998,srt-59
chrIV,602991,603643,-,C18H7.9,WBGene00015999,prmt-4
chrII,6699050,6700448,+,C18H9.1,WBGene00016000,
chrII,6684202,6688606,+,C18H9.3,WBGene00016002,
chrII,6692714,6695271,-,C18H9.5,WBGene00016003,
chrII,6700624,6701591,-,C18H9.6,WBGene00016004,
chrII,6702200,6705522,-,C18H9.7,WBGene00004507,rpy-1
chrII,6679511,6682937,+,C18H9.8,WBGene00016005,ift-74
chrX,9397642,9427192,+,C23F12.1,WBGene00016006,fln-2
chrX,9391586,9394643,+,C23F12.3,WBGene00016008,
chrX,9387377,9389130,+,C23F12.4,WBGene00016009,
chrIII,6209154,6212832,+,C23G10.1,WBGene00016010,
chrIII,6213060,6213871,-,C23G10.10,WBGene00016016,
chrIII,6215113,6215490,-,C23G10.11,WBGene00016017,
chrIII,6208010,6209091,+,C23G10.2,WBGene00016011,
chrIII,6206749,6208265,+,C23G10.3,WBGene00004472,rps-3
chrIII,6198850,6202575,+,C23G10.4,WBGene00004459,rpn-2
chrIII,6191058,6192029,+,C23G10.5,WBGene00016012,
chrIII,6192069,6194508,-,C23G10.6,WBGene00016013,
chrIII,6195933,6198364,-,C23G10.7,WBGene00016014,
chrIII,6202370,6206151,-,C23G10.8,WBGene00016015,
chrII,69660,71279,+,C23H3.1,WBGene00001193,egl-26
chrII,61302,64311,+,C23H3.2,WBGene00016018,
chrII,57670,60080,+,C23H3.3,WBGene00016019,
chrII,51072,57607,+,C23H3.4,WBGene00016020,sptl-1
chrII,47573,50111,+,C23H3.5,WBGene00016021,
chrII,53013,55304,-,C23H3.7,WBGene00006611,tre-5
chrII,71675,77512,-,C23H3.9,WBGene00016022,
chrX,12199496,12212981,-,C23H4.1,WBGene00000277,cab-1
chrX,12219642,12222663,+,C23H4.2,WBGene00007691,
chrX,12226135,12229810,+,C23H4.3,WBGene00007692,
chrX,12229883,12233023,+,C23H4.4,WBGene00007693,
chrX,12235553,12240731,+,C23H4.6,WBGene00007694,
chrX,12222851,12226008,+,C23H4.7,WBGene00007695,
chrX,12217175,12219256,+,C23H4.8,WBGene00044132,
chrIV,2130998,2133028,+,C23H5.1,WBGene00016023,prmt-6
chrIV,2091929,2099890,-,C23H5.11,WBGene00044649,
chrIV,2133481,2134708,+,C23H5.12,WBGene00077523,
chrIV,2122797,2126152,+,C23H5.2,WBGene00016024,glb-7
chrIV,2114626,2115625,+,C23H5.3,WBGene00016025,xbx-4
chrIV,2104056,2111605,-,C23H5.7,WBGene00000487,che-6
chrIV,2111890,2113422,-,C23H5.8,WBGene00016027,
chrIV,2126096,2128852,-,C23H5.9,WBGene00001729,grl-20
chrIII,725017,726153,+,C24A1.1,WBGene00016028,flp-24
chrI,5401811,5402896,+,C24A11.1,WBGene00016040,
chrI,5380163,5383032,+,C24A11.2,WBGene00016041,
chrI,5384642,5385740,-,C24A11.5,WBGene00016042,
chrI,5396272,5396506,-,C24A11.6,WBGene00016043,
chrI,5402898,5408462,-,C24A11.8,WBGene00001491,frm-4
chrI,5412845,5415632,-,C24A11.9,WBGene00000761,coq-1
chrIII,688734,715835,+,C24A1.2,WBGene00016029,elf-1
chrIII,692504,696451,-,C24A1.3,WBGene00016030,
chrX,9001184,9005998,+,C24A3.1,WBGene00016032,
chrX,8997424,8998854,+,C24A3.2,WBGene00016033,
chrX,8992352,8994725,+,C24A3.4,WBGene00016034,
chrX,8988080,8991918,+,C24A3.6,WBGene00006672,twk-18
chrX,9009725,9010402,-,C24A3.9,WBGene00044580,
chrX,4320839,4326325,+,C24A8.1,WBGene00016037,dop-6
chrX,4303253,4311742,-,C24A8.3,WBGene00004106,pqn-15
chrX,4333124,4336010,-,C24A8.4,WBGene00016038,cst-2
chrX,4328376,4328892,-,C24A8.5,WBGene00016039,
chrX,4330054,4332381,-,C24A8.6,WBGene00044004,
chrV,9191591,9195840,+,C24B5.1,WBGene00016044,
chrV,9175775,9177978,+,C24B5.2,WBGene00016045,spas-1
chrV,9178021,9181696,-,C24B5.3,WBGene00004216,ptr-1
chrV,9195798,9197286,-,C24B5.4,WBGene00016046,
chrV,9174066,9175227,+,C24B5.5,WBGene00004107,pqn-16
chrV,2728534,2730241,+,C24B9.1,WBGene00006099,str-33
chrV,2735529,2738272,-,C24B9.10,WBGene00005213,srg-56
chrV,2738756,2740278,-,C24B9.11,WBGene00005218,srg-61
chrV,2740442,2744324,-,C24B9.12,WBGene00005219,srg-62
chrV,2732175,2734458,-,C24B9.14,WBGene00005214,srg-57
chrV,2721288,2722653,-,C24B9.15,WBGene00005217,srg-60
chrV,2748237,2750104,-,C24B9.16,WBGene00005915,srx-24
chrV,2715272,2716998,+,C24B9.2,WBGene00016047,srt-26
chrV,2706779,2711817,-,C24B9.3,WBGene00016048,
chrV,2712032,2713630,-,C24B9.4,WBGene00016049,srt-28
chrV,2717393,2719133,-,C24B9.5,WBGene00016050,srt-29
chrV,2719694,2720861,-,C24B9.6,WBGene00016051,srt-27
chrV,2722901,2725323,-,C24B9.7,WBGene00005216,srg-59
chrV,2725900,2727199,-,C24B9.8,WBGene00006081,str-13
chrV,2730508,2731095,-,C24B9.9,WBGene00016052,dod-3
chrIV,5166332,5168419,+,C24D10.1,WBGene00016053,
chrIV,5163331,5164343,+,C24D10.2,WBGene00016054,
chrIV,5160515,5161380,+,C24D10.4,WBGene00016055,
chrIV,5150197,5151205,+,C24D10.5,WBGene00016056,
chrIV,5159418,5160242,-,C24D10.6,WBGene00016057,
chrIV,5162735,5163066,-,C24D10.7,WBGene00016058,nspd-3
chrIV,5165412,5165833,-,C24D10.8,WBGene00043147,nspd-6
chrIV,10219306,10221260,-,C24F3.1,WBGene00007696,tram-1
chrIV,10222489,10223729,+,C24F3.2,WBGene00007697,
chrIV,10224032,10226293,+,C24F3.3,WBGene00003531,nas-12
chrIV,10214962,10219286,-,C24F3.4,WBGene00007698,qns-1
chrIV,10206171,10214889,-,C24F3.5,WBGene00000019,abt-1
chrIV,10216428,10217621,+,C24F3.6,WBGene00000698,col-124
chrV,5536685,5537702,+,C24G6.1,WBGene00006376,syp-2
chrV,5523711,5530714,+,C24G6.2,WBGene00016059,
chrV,5514330,5520447,+,C24G6.3,WBGene00016060,mms-19
chrV,5505280,5509940,+,C24G6.4,WBGene00003637,nhr-47
chrV,5509917,5513814,-,C24G6.6,WBGene00016061,hpo-15
chrV,5530707,5533840,-,C24G6.7,WBGene00001710,grl-1
chrV,5534115,5536229,-,C24G6.8,WBGene00016062,
chrI,4109409,4112387,+,C24G7.1,WBGene00016063,delm-2
chrI,4103715,4108047,+,C24G7.2,WBGene00016064,acd-1
chrI,4094612,4098331,+,C24G7.4,WBGene00016066,acd-2
chrX,5071988,5074281,+,C24H10.1,WBGene00016067,
chrX,5064613,5066337,+,C24H10.2,WBGene00016068,
chrX,5061023,5062174,+,C24H10.3,WBGene00016069,
chrX,5058336,5058702,-,C24H10.4,WBGene00016070,
chrX,5074365,5078039,-,C24H10.5,WBGene00006861,cal-5
chrIII,11787648,11789357,+,C24H11.1,WBGene00007699,
chrIII,11790436,11792145,-,C24H11.2,WBGene00007700,
chrIII,11783976,11785952,-,C24H11.3,WBGene00006557,tbx-38
chrIII,11782012,11783974,+,C24H11.4,WBGene00007701,srd-74
chrIII,11780133,11780926,+,C24H11.5,WBGene00007702,
chrIII,11775016,11776578,+,C24H11.6,WBGene00007021,immp-1
chrIII,11751157,11773583,-,C24H11.7,WBGene00007703,gbf-1
chrIII,11795696,11803140,+,C24H11.8,WBGene00006690,twk-39
chrIII,11777544,11779344,+,C24H11.9,WBGene00007704,mdt-21
chrII,441498,446999,+,C24H12.1,WBGene00016071,
chrII,427603,429152,-,C24H12.11,WBGene00016080,
chrII,433659,435406,-,C24H12.12,WBGene00044639,
chrII,436867,438748,+,C24H12.2,WBGene00016072,
chrII,411222,416618,+,C24H12.4,WBGene00016073,
chrII,406138,410928,-,C24H12.5,WBGene00016074,
chrII,417349,418882,-,C24H12.6,WBGene00016075,
chrII,420056,421141,-,C24H12.7,WBGene00016076,
chrII,422319,423142,-,C24H12.8,WBGene00016077,
chrI,10162379,10163542,+,C25A1.1,WBGene00007705,
chrI,10186601,10190886,-,C25A1.10,WBGene00000931,dao-5
chrI,10193916,10196990,-,C25A1.11,WBGene00000095,aha-1
chrX,9119718,9121595,+,C25A11.1,WBGene00016086,
chrI,10191291,10192884,-,C25A1.12,WBGene00007711,lid-1
chrX,9114310,9116836,+,C25A11.2,WBGene00016087,
chrI,10193230,10194259,+,C25A1.13,WBGene00007712,mrpl-34
chrX,9092226,9113562,+,C25A11.4,WBGene00000100,ajm-1
chrI,10197311,10197586,+,C25A1.15,WBGene00007713,
chrI,10179008,10179685,+,C25A1.16,WBGene00077526,
chrI,10163465,10165125,-,C25A1.2,WBGene00001442,fkh-10
chrI,10159972,10161875,-,C25A1.3,WBGene00006447,tag-72
chrI,10169626,10173205,-,C25A1.4,WBGene00007706,
chrI,10177169,10178911,+,C25A1.5,WBGene00007707,
chrI,10178994,10179739,+,C25A1.6,WBGene00007708,nola-3
chrI,10179827,10183987,+,C25A1.7,WBGene00002153,iars-2
chrI,10184234,10185458,-,C25A1.8,WBGene00007709,clec-87
chrI,10185790,10187540,+,C25A1.9,WBGene00007710,rsa-1
chrV,5408512,5410055,+,C25A6.1,WBGene00016081,
chrIV,7011124,7011237,+,C25A8.1,WBGene00016082,
chrIV,7009830,7010733,+,C25A8.2,WBGene00016083,
chrIV,7003614,7009258,+,C25A8.4,WBGene00016084,cht-3
chrIV,6999588,7001482,+,C25A8.5,WBGene00016085,
chrX,6618985,6627951,+,C25B8.1,WBGene00002233,kqt-1
chrX,6607166,6609009,+,C25B8.3,WBGene00000786,cpr-6
chrX,6617404,6622855,-,C25B8.4,WBGene00016088,clec-266
chrX,6631890,6634998,-,C25B8.5,WBGene00016089,aexr-1
chrX,6636522,6640583,-,C25B8.6,WBGene00003710,nhr-120
chrX,6628004,6631500,-,C25B8.7,WBGene00016090,aexr-2
chrX,6610017,6615306,+,C25B8.8,WBGene00044297,
chrV,15036284,15036811,-,C25D7.1,WBGene00007714,
chrV,15067448,15068556,+,C25D7.10,WBGene00007720,
chrV,15032125,15033334,+,C25D7.12,WBGene00007721,
chrV,15060289,15061513,+,C25D7.15,WBGene00007722,
chrV,15056300,15056701,+,C25D7.16,WBGene00050940,
chrV,15039340,15048192,-,C25D7.3,WBGene00004747,sdc-3
chrV,15050992,15052509,-,C25D7.4,WBGene00007716,fbxa-82
chrV,15053741,15056727,+,C25D7.5,WBGene00007717,
chrV,15056702,15059584,-,C25D7.6,WBGene00003155,mcm-3
chrV,15061246,15064070,-,C25D7.7,WBGene00004308,rap-2
chrV,15066279,15068066,+,C25D7.8,WBGene00007718,otub-1
chrV,15065118,15065300,+,C25D7.9,WBGene00007719,
chrV,9045149,9046945,+,C25E10.1,WBGene00016091,nhr-30
chrV,9055302,9056360,-,C25E10.10,WBGene00016099,
chrV,9057521,9058330,-,C25E10.11,WBGene00016100,
chrV,9060472,9062418,-,C25E10.12,WBGene00016101,
chrV,9059728,9060459,+,C25E10.13,WBGene00023431,
chrV,9041308,9043655,+,C25E10.2,WBGene00016092,cyp-33B1
chrV,9036368,9040267,+,C25E10.3,WBGene00016093,srsx-34
chrV,9033547,9035583,+,C25E10.4,WBGene00016094,
chrV,9030526,9032576,+,C25E10.5,WBGene00016095,
chrV,9050104,9051169,-,C25E10.7,WBGene00016096,
chrV,9053295,9053995,-,C25E10.8,WBGene00016097,
chrV,9054201,9054855,-,C25E10.9,WBGene00023417,swm-1
chrX,5486464,5488067,+,C25F6.1,WBGene00016102,
chrX,5479666,5484906,+,C25F6.2,WBGene00001006,dlg-1
chrX,5467838,5472651,+,C25F6.3,WBGene00016103,dpyd-1
chrX,5461224,5466031,+,C25F6.4,WBGene00016104,ddr-1
chrX,5450230,5450791,-,C25F6.6,WBGene00016105,
chrX,5445037,5448037,+,C25F6.7,WBGene00016106,
chrX,5448238,5449936,+,C25F6.8,WBGene00044569,
chrV,19429411,19431658,-,C25F9.1,WBGene00005832,srw-85
chrV,19405697,19406365,+,C25F9.10,WBGene00044291,
chrV,19432416,19433129,-,C25F9.11,WBGene00045411,
chrV,19402159,19402920,-,C25F9.12,WBGene00045412,
chrV,19397799,19398953,-,C25F9.13,WBGene00045413,
chrV,19436570,19437188,+,C25F9.14,WBGene00045461,
chrV,19418093,19418951,+,C25F9.15,WBGene00050967,
chrV,19434360,19434655,+,C25F9.16,WBGene00194803,
chrV,19421442,19426745,+,C25F9.2,WBGene00007723,
chrV,19411104,19413852,-,C25F9.4,WBGene00007724,
chrV,19407691,19410819,-,C25F9.5,WBGene00007725,
chrV,19403501,19405297,-,C25F9.6,WBGene00007726,
chrV,19400113,19400686,-,C25F9.7,WBGene00005833,srw-86
chrV,19395026,19396580,+,C25F9.8,WBGene00007727,
chrV,19416604,19417865,+,C25F9.9,WBGene00007728,
chrIV,12438636,12443012,+,C25G4.1,WBGene00007729,clec-185
chrIV,12468647,12474866,+,C25G4.10,WBGene00007736,igdb-2
chrIV,12443172,12444023,-,C25G4.2,WBGene00007730,
chrIV,12444427,12445863,-,C25G4.3,WBGene00007731,
chrIV,12452041,12454192,-,C25G4.4,WBGene00007732,spe-44
chrIV,12445959,12451271,-,C25G4.5,WBGene00001085,dpy-26
chrIV,12455094,12456177,+,C25G4.6,WBGene00007733,smz-1
chrIV,12456890,12458584,+,C25G4.7,WBGene00007734,
chrIV,12459796,12463411,-,C25G4.8,WBGene00007735,
chrX,1269729,1272556,+,C25G6.1,WBGene00016107,
chrX,1246012,1247494,+,C25G6.2,WBGene00006635,tsp-9
chrX,1233088,1238898,-,C25G6.3,WBGene00016108,
chrX,1247733,1249833,-,C25G6.4,WBGene00016109,
chrX,1251020,1256002,-,C25G6.5,WBGene00016110,npr-11
chrII,5699581,5701389,+,C25H3.1,WBGene00016111,
chrII,5696606,5698939,-,C25H3.10,WBGene00016119,
chrII,5684461,5689012,-,C25H3.11,WBGene00016120,
chrII,5659919,5660768,-,C25H3.12,WBGene00016121,
chrII,5695362,5696338,+,C25H3.14,WBGene00016123,
chrII,5665390,5666263,+,C25H3.15,WBGene00044391,
chrII,5666273,5666832,+,C25H3.16,WBGene00044392,
chrII,5669081,5669664,-,C25H3.17,WBGene00194642,
chrII,5694175,5695218,+,C25H3.3,WBGene00016112,
chrII,5691701,5693917,+,C25H3.4,WBGene00016113,
chrII,5680971,5682651,+,C25H3.5,WBGene00016114,flp-27
chrII,5661149,5665225,+,C25H3.6,WBGene00016115,mdt-26
chrII,5666737,5668914,-,C25H3.7,WBGene00016116,
chrII,5669754,5679258,-,C25H3.8,WBGene00016117,
chrII,5690116,5691337,-,C25H3.9,WBGene00016118,
chrIV,8018160,8020274,-,C26B2.1,WBGene00016124,dnc-4
chrIV,8021135,8021982,-,C26B2.2,WBGene00016125,
chrIV,8022657,8029500,-,C26B2.3,WBGene00003625,nhr-31
chrIV,8045032,8046950,+,C26B2.4,WBGene00016126,nhr-258
chrIV,8040286,8041503,+,C26B2.5,WBGene00016127,
chrIV,8016988,8018207,+,C26B2.6,WBGene00016128,elpc-4
chrIV,8016200,8016872,+,C26B2.7,WBGene00016129,
chrIV,8014115,8015624,+,C26B2.8,WBGene00016130,
chrX,5344555,5348684,+,C26B9.1,WBGene00016131,
chrX,5340289,5341977,+,C26B9.2,WBGene00016132,
chrX,5338241,5340149,+,C26B9.3,WBGene00016133,
chrX,5329423,5332307,+,C26B9.5,WBGene00016134,
chrX,5333045,5335438,-,C26B9.6,WBGene00016135,
chrX,5342304,5342799,+,C26B9.7,WBGene00016136,
chrI,7495433,7503574,+,C26C6.1,WBGene00007042,pbrm-1
chrI,7512914,7514409,-,C26C6.10,WBGene00077553,
chrI,7522110,7526744,+,C26C6.2,WBGene00001648,goa-1
chrI,7527303,7531696,+,C26C6.3,WBGene00003552,nas-36
chrI,7532311,7535993,+,C26C6.4,WBGene00007739,
chrI,7537724,7542153,-,C26C6.5,WBGene00000938,dcp-66
chrI,7505968,7506642,+,C26C6.6,WBGene00007740,
chrI,7508717,7512619,+,C26C6.7,WBGene00007741,glb-8
chrI,7503572,7505576,-,C26C6.8,WBGene00007742,
chrI,7514089,7515104,-,C26C6.9,WBGene00007743,
chrII,8322562,8325004,-,C26D10.1,WBGene00004304,ran-3
chrII,8326799,8328827,-,C26D10.2,WBGene00001840,hel-1
chrII,8325416,8329608,+,C26D10.3,WBGene00007744,
chrII,8329708,8333416,+,C26D10.4,WBGene00007745,
chrII,8346640,8350499,+,C26D10.5,WBGene00001159,eff-1
chrII,8350485,8354652,-,C26D10.6,WBGene00007746,
chrII,8334044,8336453,+,C26D10.7,WBGene00023420,
chrV,13297507,13298037,+,C26E1.1,WBGene00007747,
chrV,13305155,13307274,+,C26E1.2,WBGene00007748,
chrV,13301639,13304773,+,C26E1.3,WBGene00007749,ceh-79
chrIII,4956853,4957501,+,C26E6.1,WBGene00016137,
chrIII,4920392,4921713,-,C26E6.11,WBGene00016144,mmab-1
chrIII,4930564,4932395,-,C26E6.12,WBGene00016145,
chrIII,4952086,4955085,+,C26E6.2,WBGene00016138,flh-2
chrIII,4944476,4947281,+,C26E6.3,WBGene00016139,ntl-9
chrIII,4939528,4944367,+,C26E6.4,WBGene00016140,rpb-2
chrIII,4937283,4939470,+,C26E6.5,WBGene00001499,fsn-1
chrIII,4935542,4937191,+,C26E6.6,WBGene00016142,mrps-18C
chrIII,4932414,4934907,+,C26E6.7,WBGene00016143,eri-9
chrIII,4918240,4920285,-,C26E6.8,WBGene00006735,ula-1
chrIII,4922391,4930170,-,C26E6.9,WBGene00004782,set-2
chrV,7785400,7787692,+,C26F1.1,WBGene00016146,
chrV,7793346,7794002,+,C26F1.10,WBGene00001464,flp-21
chrV,7781792,7784572,+,C26F1.2,WBGene00016147,cyp-32A1
chrV,7777278,7778908,+,C26F1.3,WBGene00016148,
chrV,7776557,7777359,+,C26F1.4,WBGene00004499,rps-30
chrV,7774497,7775740,+,C26F1.5,WBGene00001719,grl-10
chrV,7771309,7773530,+,C26F1.6,WBGene00016149,frpr-3
chrV,7760447,7761594,+,C26F1.7,WBGene00016150,hint-3
chrV,7775719,7776067,-,C26F1.9,WBGene00004453,rpl-39
chrX,14654903,14662791,+,C26G2.1,WBGene00007750,syg-2
chrX,14664220,14671231,+,C26G2.2,WBGene00007751,
chrIV,12640424,12650629,+,C26H9A.1,WBGene00006916,vha-7
chrIV,12653466,12674858,+,C26H9A.2,WBGene00007752,wdfy-3
chrI,6064090,6065305,+,C27A12.10,WBGene00023409,mbd-2
chrI,6041672,6046178,+,C27A12.2,WBGene00016154,
chrI,6038408,6041271,+,C27A12.3,WBGene00006492,tag-146
chrI,6035454,6037789,+,C27A12.4,WBGene00016155,
chrI,6046834,6050464,-,C27A12.5,WBGene00000429,ceh-2
chrI,6053599,6055825,-,C27A12.6,WBGene00016156,
chrI,6055949,6058426,-,C27A12.7,WBGene00016157,
chrI,6058451,6061035,-,C27A12.8,WBGene00016158,ari-1
chrI,6061662,6068034,-,C27A12.9,WBGene00016159,
chrII,5062121,5067121,+,C27A2.1,WBGene00016151,smc-5
chrII,5055606,5056209,+,C27A2.2,WBGene00004434,rpl-22
chrII,5054069,5055327,-,C27A2.3,WBGene00002068,ify-1
chrII,5056220,5060704,-,C27A2.4,WBGene00016152,pho-12
chrII,5068727,5069615,-,C27A2.5,WBGene00016153,
chrII,5078202,5081153,-,C27A2.6,WBGene00001102,dsh-2
chrII,5069754,5071359,-,C27A2.7,WBGene00044386,
chrII,5067057,5067987,-,C27A2.8,WBGene00044387,
chrV,12131431,12137379,+,C27A7.1,WBGene00007753,
chrV,12138232,12140259,+,C27A7.2,WBGene00007754,
chrV,12140857,12144267,+,C27A7.3,WBGene00007755,
chrV,12144276,12150670,-,C27A7.4,WBGene00000490,che-11
chrV,12154856,12162280,-,C27A7.5,WBGene00007756,
chrV,12124829,12127318,-,C27A7.6,WBGene00007757,
chrV,12163187,12164516,+,C27A7.7,WBGene00005592,srj-4
chrV,12153057,12154246,+,C27A7.8,WBGene00007758,
chrV,12154244,12154635,-,C27A7.9,WBGene00007759,
chrIV,8891457,8892734,+,C27B7.1,WBGene00005007,spr-2
chrIV,8892845,8893725,+,C27B7.2,WBGene00007760,
chrIV,8894068,8901372,+,C27B7.4,WBGene00007761,rad-26
chrIV,8901631,8903170,+,C27B7.5,WBGene00007762,
chrIV,8903209,8906192,-,C27B7.6,WBGene00007763,
chrIV,8907034,8915374,+,C27B7.7,WBGene00007764,
chrIV,8916239,8918877,-,C27B7.8,WBGene00004307,rap-1
chrIV,8915376,8916115,-,C27B7.9,WBGene00007765,
chrX,14852498,14853685,-,C27C12.1,WBGene00007771,
chrX,14845868,14849177,+,C27C12.2,WBGene00007772,egrh-1
chrX,14863540,14865775,-,C27C12.3,WBGene00007773,
chrX,14854062,14856452,+,C27C12.4,WBGene00007774,
chrX,14849247,14852764,+,C27C12.5,WBGene00007775,acd-3
chrX,14857229,14861732,-,C27C12.6,WBGene00007776,dmd-4
chrX,14831755,14838118,+,C27C12.7,WBGene00001055,dpf-2
chrI,11439277,11440700,+,C27C7.1,WBGene00007766,
chrI,11429062,11432054,+,C27C7.3,WBGene00003664,nhr-74
chrI,11433661,11435920,-,C27C7.4,WBGene00003663,nhr-73
chrI,11423984,11425960,-,C27C7.5,WBGene00007768,
chrI,11421924,11423591,+,C27C7.7,WBGene00007769,
chrI,11436772,11437397,+,C27C7.8,WBGene00007770,nhr-259
chrIII,7824311,7828562,-,C27D11.1,WBGene00001209,egl-45
chrII,5171900,5177430,+,C27D6.1,WBGene00016160,
chrII,5169716,5171022,-,C27D6.10,WBGene00005066,srb-1
chrII,5159706,5161120,-,C27D6.11,WBGene00044388,
chrII,5177288,5177986,-,C27D6.12,WBGene00044389,
chrII,5173713,5174186,-,C27D6.3,WBGene00016161,
chrII,5179028,5187561,-,C27D6.4,WBGene00016162,crh-2
chrII,5161985,5163373,-,C27D6.6,WBGene00005070,srb-5
chrII,5165305,5166828,-,C27D6.8,WBGene00005068,srb-3
chrII,5168100,5169314,-,C27D6.9,WBGene00005067,srb-2
chrIV,12717860,12719367,+,C27D8.1,WBGene00007777,
chrIV,12712747,12714732,+,C27D8.2,WBGene00007778,
chrIV,12706691,12712291,-,C27D8.3,WBGene00007779,
chrIV,12704086,12706737,+,C27D8.4,WBGene00007780,
chrII,4753439,4755596,+,C27D9.1,WBGene00016163,
chrII,4755585,4756780,-,C27D9.2,WBGene00016164,
chrIII,4987209,4991416,+,C27F2.1,WBGene00016165,
chrIII,4984981,4986896,-,C27F2.10,WBGene00016171,
chrIII,4965624,4979693,+,C27F2.2,WBGene00003558,nca-2
chrIII,4958479,4960267,-,C27F2.4,WBGene00016166,
chrIII,4960297,4963003,-,C27F2.5,WBGene00016167,vps-22
chrIII,4979760,4980382,-,C27F2.6,WBGene00016168,
chrIII,4980485,4984439,-,C27F2.7,WBGene00016169,
chrIII,4991392,4998126,-,C27F2.8,WBGene00016170,
chrIII,4961774,4963055,-,C27F2.9,WBGene00043156,
chrIV,13940914,13963978,+,C27H2.2,WBGene00007782,
chrII,7183784,7185118,+,C27H5.1,WBGene00003966,pdl-1
chrII,7155590,7160897,+,C27H5.2,WBGene00016172,
chrII,7152525,7155433,+,C27H5.3,WBGene00016173,fust-1
chrII,7162403,7165800,-,C27H5.4,WBGene00016174,
chrII,7167635,7168606,-,C27H5.5,WBGene00000613,col-36
chrII,7185236,7187169,-,C27H5.6,WBGene00016175,
chrII,7167472,7171314,-,C27H5.7,WBGene00001129,dyf-13
chrII,7172163,7174897,-,C27H5.8,WBGene00001594,glc-4
chrV,9966380,9976202,-,C27H6.1,WBGene00006777,unc-41
chrV,9978767,9980745,-,C27H6.2,WBGene00007784,ruvb-1
chrV,9981261,9982740,+,C27H6.3,WBGene00007785,
chrV,9983895,9986264,-,C27H6.4,WBGene00007786,rmd-2
chrV,9986397,9987766,-,C27H6.8,WBGene00007787,
chrV,9982856,9983907,+,C27H6.9,WBGene00077500,
chrIII,4429590,4434371,-,C28A5.1,WBGene00007788,
chrIII,4434722,4439515,-,C28A5.2,WBGene00007789,
chrIII,4442053,4444211,+,C28A5.3,WBGene00003590,nex-3
chrIII,4446606,4449912,-,C28A5.4,WBGene00000463,ceh-43
chrIII,4423686,4429471,-,C28A5.6,WBGene00007791,
chrIV,8501469,8502970,+,C28C12.1,WBGene00016177,
chrIV,8503480,8510498,-,C28C12.10,WBGene00006450,tag-77
chrIV,8474086,8475267,+,C28C12.11,WBGene00016181,
